restaurant,account,name,level,comment_star,comment,
滾吧 Qunba 鍋物 建北店,59b901a222613946771733d2,梁馨蘋,銀級會員(11則評論),4,藍蝦讚+ 2分享,
滾吧 Qunba 鍋物 建北店,54280eddd4fdab429f8aaeef,Mei Chou,(2則評論),2,梅花豬冰太久，很柴，有腥味 表示讚賞分享,
滾吧 Qunba 鍋物 建北店,556c9fdd2756dd6e3c0d324a,小妞的生活旅程,愛食記部落客(666篇食記),0,"滾吧QUNBA 鍋物 建北店,高CP值好鍋,大推招牌麻雕雞+ 19分享開啟食記›",
滾吧 Qunba 鍋物 建北店,535be0eb40d18d04dd84f5db,J&A的旅行,愛食記部落客(895篇食記),0,滾吧鍋物 麻雕雞鍋現炒湯底香氣濃厚!必吃手工沙茶醬【捷運松江南京】台北火鍋推薦+ 4分享開啟食記›,
滾吧 Qunba 鍋物 建北店,5bcc4eb923679c40c1921b78,Sheryl,(3則評論),4,很文艺 服务很好 环境也很干净 冰淇淋冰沙酱料非常棒 菜品锅底一般+ 4分享,
滾吧 Qunba 鍋物 建北店,559aa3432756dd45796b88f6,ASIH的享樂人生,愛食記部落客(135篇食記),4.5,滾吧Qunba鍋物-建北店+ 2分享開啟食記›,
滾吧 Qunba 鍋物 建北店,543ab6b2d4fdab1c553e5ae2,施,紫級會員(103則評論),3.5,套餐的肉感覺沒有那麼好吃+ 1分享,
滾吧 Qunba 鍋物 建北店,56b580a2699b6e6180a92dce,杜少平,金級會員(77則評論),5,點個人海陸火鍋，豬肉跟海鮮盤都不錯👍豬肉片有嫩，海鮮有蝦有魚片有蛤仔。昆布湯頭清爽不過鹹，吃完不會口渴。菜盤有一定的水準，健康的食材偏多。冰沙飲料無限喝。冰淇淋是小美所以不特別提～推不用服務費！+ 4分享,
滾吧 Qunba 鍋物 建北店,5549c68b2756dd1e46f7395e,麥仔的生活日記,愛食記部落客(568篇食記),0,台北松江南京火鍋推薦｜滾吧鍋物（建北店）不收服務費～還親力親為手作沙茶醬高級食材經濟實惠～霸王級龍蝦海陸鍋痛風也要吃｜台北鍋物推薦+ 4分享開啟食記›,
滾吧 Qunba 鍋物 建北店,557c63e8699b6e6e8855dee4,廖羚佑,金級會員(80則評論),4,CP值蠻高的一間店～不過雞肉有點小柴+ 40分享,
滾吧 Qunba 鍋物 建北店,54b7b20ad4fdab2063af6d3b,Mi Mi Mimi,銀級會員(28則評論),5,牛奶起士鍋榮登當日最驚豔，一般牛奶鍋吃到後來都會有點膩口，但是他們家的並不會，麻雕鍋比起起士鍋倒是略遜一籌但聞起來真的是很香，沾醬以芝麻醬為基底也許是有加花生醬顯得更濃醇，價格上算得上平價加點的東西雖然量較少價格也很便宜，也可以多點來吃+ 8分享,
滾吧 Qunba 鍋物 建北店,5b0136fc23679c3c88c1e488,盧炯綱,(3則評論),4.5,服務不錯，而且蠻好吃的，有三種肉一個套餐，份量以男生來說還不錯+ 2分享,
滾吧 Qunba 鍋物 建北店,55e80b0c2756dd0675346adb,寫食派Lexie's Blog,愛食記部落客(354篇食記),4,滾吧鍋物，高CP值平價時尚火鍋，多種湯底配獨門沙茶醬+ 2分享開啟食記›,
滾吧 Qunba 鍋物 建北店,58eae231699b6e777bbb27f0,王俊傑,紫級會員(156則評論),5,2018/5/15 晚上用餐我們點了雙人麻油雞套餐鍋底：麻油雞鍋一開始會幫你煎雞肉，然後再製作成鍋。整體來說很棒，但是雞肉要儘早吃不然煮太久會老另一鍋我們選擇麻辣藥膳湯頭，但是這個完全沒有味道。就好像藥膳湯加上一層辣油，味道完全不搭肉品：牛肉還不錯，但是我覺得豬肉更好吃菜盤：蔬菜的部分很鮮甜環境：整體環境明亮乾淨，是個氣氛不錯的火鍋店，很適合聚餐或約會。但是有點貴就是了+ 6分享,
滾吧 Qunba 鍋物 建北店,539eb8f86f345b1a2cb77b42,Chihhao Chen,(10則評論),4,肉類份量很多 若是菜盤份量再多些就更棒了！+ 4分享,
滾吧 Qunba 鍋物 建北店,5545dd1b699b6e1cb19727ff,Joyce食尚樂活,愛食記部落客(448篇食記),0,新開平價涮涮火鍋推薦菜單♥ 滾吧 Qunba 鍋物♥ 現炒麻雕鍋 奶香膠原起司 冰淇淋吃到飽 不收服務費 全時段供餐！（建北店中山區捷運松江南京站/文山區木柵萬隆站）♥ JoyceWu。食記+ 42分享開啟食記›,
滾吧 Qunba 鍋物 建北店,54ff8fcf2756dd589c383597,Wisely的拍拍照寫寫字,愛食記部落客(1505篇食記),0,滾吧Qunba鍋物：獨家手作沙茶醬，超值雙人套餐888元+ 5分享開啟食記›,
滾吧 Qunba 鍋物 建北店,54b604aed4fdab68baa88539,夢與幻的地圖,愛食記部落客(1516篇食記),0,"滾吧 Qunba 鍋物,888吃半公斤的肉還有豪華海鮮盤+ 8分享開啟食記›",
滾吧 Qunba 鍋物 建北店,551eb56b2756dd03a04aba48,YOYO愛生活,愛食記部落客(634篇食記),0,松江南京 滾吧Qunba 鍋物 平價精緻火鍋‧嘗一口獨門醬料吧！推薦聚餐好選擇♥♥♥+ 12分享開啟食記›,
滾吧 Qunba 鍋物 建北店,54ac229cd4fdab6eca38e0ea,愛吃鬼芸芸,愛食記部落客(2503篇食記),0,滾吧Qunba 鍋物，平價時尚好鍋+ 31分享開啟食記›,
打狗霸 TAKAO 1972,55e2002d699b6e6a88e299a5,東吃東吃到處吃,愛食記部落客(118篇食記),4.5,"CP值超高的巨無霸握壽司,台北西門町壽司推薦、台北平價日本料理推薦!打狗霸日式料理TAKAO1972+ 1分享開啟食記›",
打狗霸 TAKAO 1972,539c33e06f345b3e363f764d,佛系旅遊筆記,愛食記部落客(145篇食記),0,打狗霸日式料理TAKAO1972｜霸王握壽司！新鮮厚實生魚片！筷子夾不穩的驚人份量！高CP值日式料理！台北西門壽司推薦、台北西門日本料理推薦+ 1分享開啟食記›,
打狗霸 TAKAO 1972,54af649ad4fdab3a74e3c84f,MengRu You,(7則評論),2,200-300元的餐點吃起來只有65分。表示讚賞分享,
打狗霸 TAKAO 1972,5b39c028f524686e22ad6e2f,반정이,(7則評論),3.5,蠻順口的 可是總覺得海鮮貌似沒那麼新鮮比較少吃鍋所以無從比較價位對小資女來說應該算中等吧😹表示讚賞分享,
打狗霸 TAKAO 1972,5cf34c7ef52468413d6f73f9,跟小資媽一起吃喝玩樂,愛食記部落客(57篇食記),4.5,打狗霸takao1972昆明店/日式料理/霸王握壽司/生魚片/丼飯/CP值超高/平價餐廳推薦/海霸王品牌/鄰近捷運西門站 台北西門町美食記+ 1分享開啟食記›,
打狗霸 TAKAO 1972,54c4a1d62756dd7ce9f38d3d,大胃米粒DM,愛食記部落客(658篇食記),0,"西門町500坪複合式火鍋餐廳！打狗霸鍋物昆明店,每季推出限定鍋物湯底,含飲品無限暢飲！海霸王火鍋推薦,台北西門町美食推薦,台北西門町火鍋推薦,表示讚賞分享開啟食記›",
打狗霸 TAKAO 1972,5be99151f5246830b61cb0fb,肥肥塞出一個胃,愛食記部落客(39篇食記),4,打狗霸 TAKAO1972 昆明店-份量多cp值高推冬季限定鍋+ 2分享開啟食記›,
打狗霸 TAKAO 1972,5b5550da2261391df1fcd60b,陳忠慶,(5則評論),3,東西普通，壽喜燒沒蛋⋯還好+ 1分享,
打狗霸 TAKAO 1972,56cbf8b3699b6e0f4e539e5d,小美叮叮_旅遊看世界,愛食記部落客(365篇食記),4,打狗霸｜打狗霸火鍋｜西門美食｜西門町｜麻辣火鍋｜+ 1分享開啟食記›,
打狗霸 TAKAO 1972,539890c46f345b4b0b939430,披著虎皮的貓,愛食記部落客(487篇食記),0,台北西門町 | 打狗霸 TAKAO 1972 海霸王旗下 平價涮涮鍋 石頭火鍋 壽喜燒+ 3分享開啟食記›,
