restaurant_series_num,name,star,comment_num,address,phone,avg_price,type
RSN_000000,滾吧 Qunba 鍋物 建北店,4.4,36,臺北市中山區建國北路一段148號,225173700,500,火鍋晚餐午餐
RSN_000001,打狗霸 TAKAO 1972,3.3,37,臺北市萬華區昆明街44之46號,223313677,440,火鍋日本料理
RSN_000002,春熙巷川麵堂,4.3,4,臺北市中正區濟南路二段58之3號,223960386,160,晚餐午餐
RSN_000003,匠樂割烹壽司,4.7,4,臺北市大安區四維路52巷31號,277091188,180,日本料理精緻高級約會餐廳
RSN_000004,養鍋 Yang Guo 石頭涮涮鍋 (台北松菸店),4.5,4,臺北市信義區忠孝東路四段559巷28號,227682889,250,火鍋晚餐午餐
RSN_000005,頂級甜不辣,4.2,22,臺北市萬華區廣州街,223026022,45,小吃晚餐
RSN_000006,大稻埕魯肉飯,4.3,66,臺北市大同區長安西路220巷17號,988051825,80,小吃晚餐午餐
RSN_000007,HEY CAFE,4.1,37,臺北市中山區中山北路一段33巷28號,225412218,320,咖啡義式料理甜點早午餐
RSN_000008,泰市場,3.7,28,臺北市信義區松高路11號6樓,287860029,600,泰式料理約會餐廳精緻高級
RSN_000009,馬辣頂級麻辣鴛鴦火鍋忠孝店,4,7,臺北市大安區忠孝東路四段223巷10弄4號,227212533,700,火鍋宵夜晚餐
RSN_000010,JAM'S TEA 詹姆詹姆果蜜大吉嶺茶飲,4.7,1,臺北市大安區忠孝東路四段216巷8弄16號,287717573,100,冰品飲料
RSN_000011,朝桂港式飲茶,3.9,11,臺北市大安區敦化南路一段200號B1,227728888,530,港式料理中式料理合菜下午茶
RSN_000012,十二粥,4.3,10,臺北市大安區通安街79號,227365565,60,小吃甜點冰品飲料
RSN_000013,小豬樂石韓國火山石烤肉專賣店,3.9,11,台北市內湖區東湖路94巷1號,226315199,1000,韓式料理燒烤晚餐
RSN_000014,Mallard Grilled Cheese Eatery 野鴨小餐館,4.8,8,臺北市松山區市民大道四段75號,287710690,300,下午茶晚餐午餐
RSN_000015,貓大福,3.6,12,臺北市中正區汀州路三段168號2樓,223656866,300,日本料理火鍋晚餐午餐
RSN_000016,水牛城美式餐廳BFLO,4.2,13,臺北市中山區北安路538巷1弄9號,225329833,450,美式料理約會餐廳精緻高級
RSN_000017,At.First Brunch緣來-松高店,3.9,8,臺北市信義區松高路16號B2,227238723,400,早午餐義式料理晚餐午餐
RSN_000018,食徒,4.7,15,臺北市中山區復興南路一段20號,227119508,1500,火鍋約會餐廳日本料理精緻高級
RSN_000019,奇岩一號 川湘料理,4.5,6,臺北市北投區奇巖路1號,255518888,800,中式料理合菜精緻高級約會餐廳
RSN_000020,魚君 さかなくん 鮮魚專門居酒屋,3.7,7,臺北市大安區光復南路290巷66號,227728959,350,日本料理宵夜晚餐
RSN_000021,紅磡 新飲茶,3.8,18,臺北市中山區林森北路263號,225423838,530,港式料理中式料理合菜宵夜
RSN_000022,朝鮮味,3.8,65,臺北市大安區仁愛路四段345巷4弄2號,287739190,400,韓式料理晚餐午餐
